  QueueTimes | ServiceTimes | SojournTimes
       0.261 |        0.217 |        0.478
       0.277 |        0.207 |        0.484
       0.077 |        0.235 |        0.312
       0.175 |        0.229 |        0.404
       0.152 |        0.209 |        0.362
       0.259 |        0.206 |        0.465
       0.071 |        0.242 |        0.313
       0.070 |        0.226 |        0.296
       0.052 |        0.222 |        0.274
       0.271 |        0.236 |        0.507
       0.052 |        0.225 |        0.277
       0.132 |        0.261 |        0.393
       0.070 |        0.261 |        0.331
       0.052 |        0.220 |        0.272
       0.230 |        0.200 |        0.430
       0.165 |        0.254 |        0.419
       0.370 |        0.236 |        0.606
       0.388 |        0.218 |        0.606
       0.556 |        0.222 |        0.778
       0.167 |        0.250 |        0.417
       0.264 |        0.272 |        0.536
       0.364 |        0.232 |        0.596
       0.447 |        0.225 |        0.672
       0.203 |        0.228 |        0.431
       0.452 |        0.216 |        0.668
       0.667 |        0.238 |        0.905
       0.609 |        0.245 |        0.854
       0.751 |        0.226 |        0.977
       0.483 |        0.223 |        0.706
       0.749 |        0.354 |        1.103
       1.110 |        0.210 |        1.320
       0.054 |        0.237 |        0.291
       0.239 |        0.201 |        0.440
       0.417 |        0.199 |        0.616
       0.160 |        0.291 |        0.451
       0.370 |        0.226 |        0.596
       0.488 |        0.212 |        0.701
       0.600 |        0.220 |        0.820
       0.460 |        0.206 |        0.666
       0.053 |        0.237 |        0.290
       0.052 |        0.218 |        0.270
       0.158 |        0.238 |        0.396
       0.071 |        0.250 |        0.321
       0.066 |        0.216 |        0.282
       0.090 |        0.215 |        0.305
       0.078 |        0.257 |        0.335
       0.069 |        0.241 |        0.310
       0.052 |        0.215 |        0.267
       0.258 |        0.218 |        0.476
       0.178 |        0.236 |        0.414
       0.173 |        0.213 |        0.386
       0.256 |        0.202 |        0.458
       0.056 |        0.219 |        0.275
       0.151 |        0.225 |        0.377
       0.313 |        0.214 |        0.528
       0.053 |        0.215 |        0.268
       0.290 |        0.202 |        0.492
       0.295 |        0.201 |        0.497
       0.428 |        0.214 |        0.642
       0.226 |        0.207 |        0.432
       0.072 |        0.204 |        0.276
       0.095 |        0.212 |        0.307
       0.069 |        0.231 |        0.300
       0.165 |        0.231 |        0.397
       0.056 |        0.227 |        0.283
       0.053 |        0.217 |        0.270
       0.067 |        0.297 |        0.364
       0.052 |        0.203 |        0.255
       0.200 |        0.294 |        0.493
       0.366 |        0.202 |        0.568
       0.187 |        0.274 |        0.461
       0.248 |        0.241 |        0.489
       0.157 |        0.212 |        0.369
       0.013 |        0.202 |        0.215
       0.101 |        0.220 |        0.321
       0.225 |        0.201 |        0.426
       0.260 |        0.219 |        0.479
       0.215 |        0.200 |        0.416
       0.053 |        0.255 |        0.308
       0.174 |        0.268 |        0.443
       0.094 |        0.260 |        0.354
       0.074 |        0.230 |        0.304
       0.068 |        0.262 |        0.331
       0.108 |        0.204 |        0.312
       0.067 |        0.229 |        0.296
       0.052 |        0.215 |        0.267
       0.144 |        0.213 |        0.357
       0.216 |        0.216 |        0.432
       0.100 |        0.215 |        0.315
       0.159 |        0.212 |        0.371
       0.156 |        0.214 |        0.370
       0.148 |        0.224 |        0.372
       0.074 |        0.253 |        0.326
       0.052 |        0.199 |        0.252
       0.234 |        0.199 |        0.434
       0.435 |        0.207 |        0.642
       0.438 |        0.218 |        0.656
       0.447 |        0.197 |        0.644
       0.272 |        0.248 |        0.520
       0.052 |        0.202 |        0.254
       0.286 |        0.207 |        0.493
       0.287 |        0.206 |        0.492
       0.113 |        0.201 |        0.315
       0.196 |        0.281 |        0.477
       0.428 |        0.220 |        0.648
       0.053 |        0.241 |        0.294
       0.233 |        0.343 |        0.576
       0.099 |        0.236 |        0.335
       0.343 |        0.260 |        0.603
       0.411 |        0.253 |        0.663
       0.374 |        0.236 |        0.610
       0.533 |        0.243 |        0.776
       0.604 |        0.237 |        0.841
       0.054 |        0.276 |        0.330
       0.086 |        0.354 |        0.440
       0.162 |        0.347 |        0.509
       0.110 |        0.039 |        0.149
       0.097 |        0.056 |        0.153
       0.053 |        0.047 |        0.101
       0.083 |        0.043 |        0.126
       0.056 |        0.031 |        0.087
       0.053 |        0.052 |        0.104
       0.040 |        0.031 |        0.071
       0.053 |        0.038 |        0.091
       0.158 |        0.045 |        0.204
       0.085 |        0.034 |        0.118
       0.053 |        0.056 |        0.109
       0.053 |        0.080 |        0.133
       0.053 |        0.032 |        0.085
       0.053 |        0.030 |        0.083
       0.160 |        0.039 |        0.199
       0.053 |        0.031 |        0.084
       0.053 |        0.029 |        0.081
       0.170 |        0.046 |        0.215
       0.219 |        0.054 |        0.273
       0.229 |        0.171 |        0.401
       0.165 |        0.143 |        0.309
       0.220 |        0.037 |        0.258
